Uniprot_AC,AFDB_Status,AFDB_pLDDT
A0A497QDL0,Found (pLDDT missing),
A0A497Q8K6,Found (pLDDT missing),
A0A497PJV8,Found (pLDDT missing),
A0A497PIG2,Found (pLDDT missing),
A0A7C0YCX9,Found (pLDDT missing),
A0A7C0YF68,Found (pLDDT missing),
A0A7C0YFD0,Found (pLDDT missing),
A0A7C0U8C9,Found (pLDDT missing),
A0A497Q2V9,Found (pLDDT missing),
A0A497QAK5,Found (pLDDT missing),
A0A497Q5S1,Found (pLDDT missing),
A0A497QB32,Found (pLDDT missing),
A0A7C0YAF9,Found (pLDDT missing),
A0A7C0U7Y1,Found (pLDDT missing),
A0A497QFX6,Found (pLDDT missing),
A0A497QI08,Found (pLDDT missing),
A0A7C0U8E8,Found (pLDDT missing),
A0A7C0U8B4,Found (pLDDT missing),
A0A7C0U7W5,Found (pLDDT missing),
A0A7C0U8N8,Found (pLDDT missing),
A0A7C0Y8C7,Found (pLDDT missing),
A0A7C0Y7G3,Found (pLDDT missing),
A0A7C0YAX0,Found (pLDDT missing),
A0A7C0YAX1,Found (pLDDT missing),
A0A7C0YCZ4,Found (pLDDT missing),
A0A7C0YF76,Found (pLDDT missing),
A0A497P721,Found (pLDDT missing),
A0A7C0U8D6,Found (pLDDT missing),
A0A7C0U809,Found (pLDDT missing),
A0A497QH22,Found (pLDDT missing),
A0A7C0U800,Found (pLDDT missing),
A0A7C0Y9P8,Found (pLDDT missing),
A0A7C0YAG4,Found (pLDDT missing),
A0A7C0U7Z0,Found (pLDDT missing),
A0A7C0YA05,Found (pLDDT missing),
A0A497PH28,Found (pLDDT missing),
A0A7C0U8B8,Found (pLDDT missing),
A0A497QFD1,Found (pLDDT missing),
A0A497P883,Found (pLDDT missing),
A0A497QFP3,Found (pLDDT missing),
A0A497QAM7,Found (pLDDT missing),
A0A7C0YAX9,Found (pLDDT missing),
A0A7C0YAY0,Found (pLDDT missing),
A0A497PET3,Found (pLDDT missing),
A0A7C0YF87,Found (pLDDT missing),
A0A7C0YFF6,Found (pLDDT missing),
A0A7C0U816,Found (pLDDT missing),
A0A497PEK8,Found (pLDDT missing),
A0A497QHV9,Found (pLDDT missing),
A0A497QC43,Found (pLDDT missing),
A0A7C0YAH4,Found (pLDDT missing),
A0A7C0U7Z6,Found (pLDDT missing),
A0A497QBS7,Found (pLDDT missing),
A0A7C0U8H1,Found (pLDDT missing),
A0A7C0U8C8,Found (pLDDT missing),
A0A7C0U8R5,Found (pLDDT missing),
A0A7C0Y8E6,Found (pLDDT missing),
A0A7C0YAY5,Found (pLDDT missing),
A0A7C0YAZ3,Found (pLDDT missing),
A0A7C0YD12,Found (pLDDT missing),
A0A7C0YF93,Found (pLDDT missing),
A0A7C0YFF9,Found (pLDDT missing),
A0A7C0U8F7,Found (pLDDT missing),
A0A7C0U829,Found (pLDDT missing),
A0A7C0U8L8,Found (pLDDT missing),
A0A497P9E5,Found (pLDDT missing),
A0A7C0Y9R9,Found (pLDDT missing),
A0A7C0YAI2,Found (pLDDT missing),
A0A7C0U805,Found (pLDDT missing),
A0A7C0U838,Found (pLDDT missing),
A0A7C0YA30,Found (pLDDT missing),
A0A7C0U8H9,Found (pLDDT missing),
A0A7C0U8D7,Found (pLDDT missing),
A0A497PE84,Found (pLDDT missing),
A0A497PDC8,Found (pLDDT missing),
A0A497PDS9,Found (pLDDT missing),
A0A7C0Y7J3,Found (pLDDT missing),
A0A7C0YAZ8,Found (pLDDT missing),
A0A7C0YB06,Found (pLDDT missing),
A0A7C0YD20,Found (pLDDT missing),
A0A7C0YFA1,Found (pLDDT missing),
A0A7C0U8H0,Found (pLDDT missing),
A0A497QK98,Found (pLDDT missing),
A0A7C0U8M8,Found (pLDDT missing),
A0A7C0U832,Found (pLDDT missing),
A0A7C0Y9T1,Found (pLDDT missing),
A0A7C0YAJ2,Found (pLDDT missing),
A0A497PIR6,Found (pLDDT missing),
A0A7C0U848,Found (pLDDT missing),
A0A7C0YA40,Found (pLDDT missing),
A0A7C0U8E9,Found (pLDDT missing),
A0A7C0U807,Found (pLDDT missing),
A0A7C0U8T7,Found (pLDDT missing),
A0A7C0Y8G4,Found (pLDDT missing),
A0A7C0Y7K3,Found (pLDDT missing),
A0A497QCT4,Found (pLDDT missing),
A0A7C0YB19,Found (pLDDT missing),
A0A7C0YFA9,Found (pLDDT missing),
A0A7C0U8I0,Found (pLDDT missing),
A0A497PZW2,Found (pLDDT missing),
A0A7C0U8N5,Found (pLDDT missing),
A0A7C0U841,Found (pLDDT missing),
A0A497PUR1,Found (pLDDT missing),
A0A497QEZ2,Found (pLDDT missing),
A0A7C0U826,Found (pLDDT missing),
A0A7C0U859,Found (pLDDT missing),
A0A497Q9I1,Found (pLDDT missing),
A0A7C0U8K7,Found (pLDDT missing),
A0A497PFJ9,Found (pLDDT missing),
A0A7C0U819,Found (pLDDT missing),
A0A7C0U8U5,Found (pLDDT missing),
A0A497Q4G3,Found (pLDDT missing),
A0A7C0Y7L4,Found (pLDDT missing),
A0A7C0YB22,Found (pLDDT missing),
A0A7C0YB31,Found (pLDDT missing),
A0A7C0YD42,Found (pLDDT missing),
A0A7C0YFB9,Found (pLDDT missing),
A0A497Q4X8,Found (pLDDT missing),
A0A497PFX7,Found (pLDDT missing),
A0A7C0U861,Found (pLDDT missing),
A0A7C0U8P4,Found (pLDDT missing),
A0A7C0U847,Found (pLDDT missing),
A0A7C0Y9V0,Found (pLDDT missing),
A0A7C0YAK7,Found (pLDDT missing),
A0A7C0U836,Found (pLDDT missing),
A0A497PJK9,Found (pLDDT missing),
A0A7C0U8G6,Found (pLDDT missing),
A0A7C0U8V6,Found (pLDDT missing),
A0A497PEN5,Found (pLDDT missing),
A0A7C0Y7L9,Found (pLDDT missing),
A0A497PAM1,Found (pLDDT missing),
A0A497PAG9,Found (pLDDT missing),
A0A7C0YFC9,Found (pLDDT missing),
A0A7C0YFJ4,Found (pLDDT missing),
A0A7C0U8J8,Found (pLDDT missing),
A0A7C0U877,Found (pLDDT missing),
A0A497QK52,Found (pLDDT missing),
A0A7C0U858,Found (pLDDT missing),
A0A7C0Y9V8,Found (pLDDT missing),
A0A7C0YAL9,Found (pLDDT missing),
A0A7C0U846,Found (pLDDT missing),
A0A7C0U883,Found (pLDDT missing),
A0A7C0YA68,Found (pLDDT missing),
A0A7C0U8M6,Found (pLDDT missing),
A0A7C0U8H5,Found (pLDDT missing),
A0A497Q334,Found (pLDDT missing),
A0A7C0Y8J4,Found (pLDDT missing),
A0A7C0YB41,Found (pLDDT missing),
A0A497PJD6,Found (pLDDT missing),
A0A7C0YD63,Found (pLDDT missing),
A0A7C0YFD5,Found (pLDDT missing),
A0A7C0YFK3,Found (pLDDT missing),
A0A7C0U887,Found (pLDDT missing),
A0A497PH78,Found (pLDDT missing),
A0A7C0U870,Found (pLDDT missing),
A0A497Q7A7,Found (pLDDT missing),
A0A7C0YAN4,Found (pLDDT missing),
A0A7C0U856,Found (pLDDT missing),
A0A497Q3N3,Found (pLDDT missing),
A0A7C0U8N7,Found (pLDDT missing),
A0A497P949,Found (pLDDT missing),
A0A7C0U849,Found (pLDDT missing),
A0A7C0U8X4,Found (pLDDT missing),
A0A7C0Y8K5,Found (pLDDT missing),
A0A7C0Y7N8,Found (pLDDT missing),
A0A7C0YB50,Found (pLDDT missing),
A0A497PRM2,Found (pLDDT missing),
A0A497QAR2,Found (pLDDT missing),
A0A497PFI3,Found (pLDDT missing),
A0A7C0YFL2,Found (pLDDT missing),
A0A7C0U8L2,Found (pLDDT missing),
A0A497Q967,Found (pLDDT missing),
A0A497Q6X9,Found (pLDDT missing),
A0A497Q4R4,Found (pLDDT missing),
A0A7C0Y9X6,Found (pLDDT missing),
A0A497QAJ8,Found (pLDDT missing),
A0A7C0U864,Found (pLDDT missing),
A0A497PA86,Found (pLDDT missing),
A0A7C0U8P7,Found (pLDDT missing),
A0A7C0U8J1,Found (pLDDT missing),
A0A497PHN2,Found (pLDDT missing),
A0A497PGD2,Found (pLDDT missing),
A0A497QJB2,Found (pLDDT missing),
A0A497PFF0,Found (pLDDT missing),
A0A497QHY2,Found (pLDDT missing),
A0A7C0YB72,Found (pLDDT missing),
A0A497QHP3,Found (pLDDT missing),
A0A7C0YFF4,Found (pLDDT missing),
A0A7C0YFM2,Found (pLDDT missing),
A0A7C0U8A4,Found (pLDDT missing),
A0A7C0U8T0,Found (pLDDT missing),
A0A7C0U890,Found (pLDDT missing),
A0A497PP74,Found (pLDDT missing),
A0A7C0YAQ6,Found (pLDDT missing),
A0A7C0U873,Found (pLDDT missing),
A0A7C0U8B0,Found (pLDDT missing),
A0A7C0YAA9,Found (pLDDT missing),
A0A497Q5Z1,Found (pLDDT missing),
A0A7C0U8J9,Found (pLDDT missing),
A0A7C0U874,Found (pLDDT missing),
A0A497PS19,Found (pLDDT missing),
A0A7C0Y7Q4,Found (pLDDT missing),
A0A7C0YB67,Found (pLDDT missing),
A0A7C0YB81,Found (pLDDT missing),
A0A497PD70,Found (pLDDT missing),
A0A7C0YFG4,Found (pLDDT missing),
A0A7C0YFN0,Found (pLDDT missing),
A0A497PJ60,Found (pLDDT missing),
A0A7C0U8A9,Found (pLDDT missing),
A0A7C0U8U0,Found (pLDDT missing),
A0A7C0U8A3,Found (pLDDT missing),
A0A7C0Y9Y9,Found (pLDDT missing),
A0A497Q999,Found (pLDDT missing),
A0A497PDK1,Found (pLDDT missing),
A0A497PCR1,Found (pLDDT missing),
A0A497QA21,Found (pLDDT missing),
A0A497PBB0,Found (pLDDT missing),
A0A7C0U8K9,Found (pLDDT missing),
A0A7C0U880,Found (pLDDT missing),
A0A7C0U908,Found (pLDDT missing),
A0A7C0Y8N7,Found (pLDDT missing),
A0A497QCK7,Found (pLDDT missing),
A0A7C0YB76,Found (pLDDT missing),
A0A7C0YB93,Found (pLDDT missing),
A0A497Q8Q9,Found (pLDDT missing),
A0A7C0YFN5,Found (pLDDT missing),
A0A7C0U8P5,Found (pLDDT missing),
A0A7C0U8B5,Found (pLDDT missing),
A0A7C0YA00,Found (pLDDT missing),
A0A7C0YAT4,Found (pLDDT missing),
A0A497PHW0,Found (pLDDT missing),
A0A497PFB0,Found (pLDDT missing),
A0A7C0U8M0,Found (pLDDT missing),
A0A7C0U894,Found (pLDDT missing),
A0A7C0U922,Found (pLDDT missing),
A0A7C0Y8Q0,Found (pLDDT missing),
A0A497PHE6,Found (pLDDT missing),
A0A7C0YB86,Found (pLDDT missing),
A0A497Q8Q4,Found (pLDDT missing),
A0A7C0YDB7,Found (pLDDT missing),
A0A7C0YFI9,Found (pLDDT missing),
A0A7C0YFP8,Found (pLDDT missing),
A0A7C0U8W4,Found (pLDDT missing),
A0A7C0U8D3,Found (pLDDT missing),
A0A7C0YA09,Found (pLDDT missing),
A0A497PDJ7,Found (pLDDT missing),
A0A7C0U899,Found (pLDDT missing),
A0A7C0U8F5,Found (pLDDT missing),
A0A7C0YAE5,Found (pLDDT missing),
A0A497QBY3,Found (pLDDT missing),
A0A7C0U8M9,Found (pLDDT missing),
A0A7C0U8A1,Found (pLDDT missing),
A0A7C0Y8Q9,Found (pLDDT missing),
A0A7C0YB96,Found (pLDDT missing),
A0A497PJL1,Found (pLDDT missing),
A0A7C0YDC7,Found (pLDDT missing),
A0A7C0YFM9,Found (pLDDT missing),
A0A497PE36,Found (pLDDT missing),
A0A7C0U8F4,Found (pLDDT missing),
A0A7C0U8X6,Found (pLDDT missing),
A0A497QEF4,Found (pLDDT missing),
A0A7C0YA18,Found (pLDDT missing),
A0A7C0YAV1,Found (pLDDT missing),
A0A7C0U8B2,Found (pLDDT missing),
A0A7C0U8G3,Found (pLDDT missing),
A0A7C0U8V3,Found (pLDDT missing),
A0A497PF19,Found (pLDDT missing),
A0A497QDG9,Found (pLDDT missing),
A0A497QFQ6,Found (pLDDT missing),
A0A7C0Y8R9,Found (pLDDT missing),
A0A497Q7A3,Found (pLDDT missing),
A0A497QCN4,Found (pLDDT missing),
A0A7C0YFN7,Found (pLDDT missing),
A0A7C0YFS1,Found (pLDDT missing),
A0A7C0U8T1,Found (pLDDT missing),
A0A7C0U8G2,Found (pLDDT missing),
A0A497PI82,Found (pLDDT missing),
A0A7C0U8F0,Found (pLDDT missing),
A0A497PFU9,Found (pLDDT missing),
A0A497QGJ4,Found (pLDDT missing),
A0A7C0U8C2,Found (pLDDT missing),
A0A497PWU1,Found (pLDDT missing),
A0A497QBL2,Found (pLDDT missing),
A0A7C0U8W0,Found (pLDDT missing),
A0A497Q6N8,Found (pLDDT missing),
A0A7C0U8C4,Found (pLDDT missing),
A0A7C0U956,Found (pLDDT missing),
A0A7C0Y8S8,Found (pLDDT missing),
A0A7C0Y7U8,Found (pLDDT missing),
A0A7C0YBB3,Found (pLDDT missing),
A0A7C0YBD6,Found (pLDDT missing),
A0A7C0YDF0,Found (pLDDT missing),
A0A497PDX7,Found (pLDDT missing),
A0A7C0YFT1,Found (pLDDT missing),
A0A7C0U8U3,Found (pLDDT missing),
A0A7C0U8G9,Found (pLDDT missing),
A0A497PGG2,Found (pLDDT missing),
A0A497PJ00,Found (pLDDT missing),
A0A7C0YA38,Found (pLDDT missing),
A0A7C0YAX2,Found (pLDDT missing),
A0A497PDR5,Found (pLDDT missing),
A0A497PJD3,Found (pLDDT missing),
A0A497PJ17,Found (pLDDT missing),
A0A497QCS1,Found (pLDDT missing),
A0A7C0Y8T6,Found (pLDDT missing),
A0A497Q2Q4,Found (pLDDT missing),
A0A497PBX3,Found (pLDDT missing),
A0A7C0YBE4,Found (pLDDT missing),
A0A7C0YDF9,Found (pLDDT missing),
A0A7C0YFQ8,Found (pLDDT missing),
A0A7C0YFT8,Found (pLDDT missing),
A0A7C0U8V0,Found (pLDDT missing),
A0A7C0U8I2,Found (pLDDT missing),
A0A7C0U904,Found (pLDDT missing),
A0A7C0YA50,Found (pLDDT missing),
A0A7C0YAY2,Found (pLDDT missing),
A0A497QCK1,Found (pLDDT missing),
A0A497QJC6,Found (pLDDT missing),
A0A497PD51,Found (pLDDT missing),
A0A7C0U8X9,Found (pLDDT missing),
A0A7C0U8S0,Found (pLDDT missing),
A0A497PA11,Found (pLDDT missing),
A0A7C0U973,Found (pLDDT missing),
A0A497QGR3,Found (pLDDT missing),
A0A497QBF5,Found (pLDDT missing),
A0A7C0YBD4,Found (pLDDT missing),
A0A7C0YDG9,Found (pLDDT missing),
A0A7C0YFR4,Found (pLDDT missing),
A0A497QFE0,Found (pLDDT missing),
A0A497PIA1,Found (pLDDT missing),
A0A7C0U8J7,Found (pLDDT missing),
A0A7C0U917,Found (pLDDT missing),
A0A7C0U8I5,Found (pLDDT missing),
A0A7C0YA59,Found (pLDDT missing),
A0A7C0YAZ0,Found (pLDDT missing),
A0A7C0U8E5,Found (pLDDT missing),
A0A7C0U8J0,Found (pLDDT missing),
A0A497QF20,Found (pLDDT missing),
A0A497PHY1,Found (pLDDT missing),
A0A497QJA4,Found (pLDDT missing),
A0A7C0U8E7,Found (pLDDT missing),
A0A7C0Y8V7,Found (pLDDT missing),
A0A7C0Y7X3,Found (pLDDT missing),
A0A7C0YBE7,Found (pLDDT missing),
A0A7C0YBG0,Found (pLDDT missing),
A0A7C0YDI2,Found (pLDDT missing),
A0A7C0YFS6,Found (pLDDT missing),
A0A497Q787,Found (pLDDT missing),
A0A7C0U8X3,Found (pLDDT missing),
A0A7C0U8K1,Found (pLDDT missing),
A0A7C0U929,Found (pLDDT missing),
A0A7C0U8J2,Found (pLDDT missing),
A0A7C0YA71,Found (pLDDT missing),
A0A497PCG4,Found (pLDDT missing),
A0A7C0U8F3,Found (pLDDT missing),
A0A7C0U8K0,Found (pLDDT missing),
A0A497PA24,Found (pLDDT missing),
A0A7C0U8Z9,Found (pLDDT missing),
A0A7C0U8U1,Found (pLDDT missing),
A0A497PC39,Found (pLDDT missing),
A0A7C0U994,Found (pLDDT missing),
A0A497QCG0,Found (pLDDT missing),
A0A7C0Y7Y5,Found (pLDDT missing),
A0A497PCC0,Found (pLDDT missing),
A0A497QD54,Found (pLDDT missing),
A0A7C0YDJ5,Found (pLDDT missing),
A0A497QH76,Found (pLDDT missing),
A0A497PUH6,Found (pLDDT missing),
A0A7C0U8Y8,Found (pLDDT missing),
A0A7C0U8L1,Found (pLDDT missing),
A0A497PE45,Found (pLDDT missing),
A0A7C0U8G1,Found (pLDDT missing),
A0A7C0U8L0,Found (pLDDT missing),
A0A7C0YAL8,Found (pLDDT missing),
A0A7C0U901,Found (pLDDT missing),
A0A497QIC2,Found (pLDDT missing),
A0A497P7C1,Found (pLDDT missing),
A0A497QCD6,Found (pLDDT missing),
A0A7C0Y8X5,Found (pLDDT missing),
A0A7C0Y7Z0,Found (pLDDT missing),
A0A497QIK1,Found (pLDDT missing),
A0A497PCT6,Found (pLDDT missing),
A0A497QDF6,Found (pLDDT missing),
A0A497QE81,Found (pLDDT missing),
